SOAP,WANem 1024kbps
Packet size (B),Time (ms),Time average (ms)
1,457
1,50
1,36
1,38
1,44
1,55
1,45
1,47
1,36
1,35
1,48
1,36
1,32
1,32
1,21
1,46
1,28
1,31
1,32
1,19
1,,58.4
10,30
10,24
10,21
10,24
10,30
10,34
10,21
10,24
10,31
10,25
10,27
10,35
10,21
10,33
10,24
10,25
10,21
10,22
10,22
10,18
10,,25.6
100,23
100,16
100,36
100,16
100,20
100,20
100,25
100,33
100,26
100,18
100,40
100,25
100,16
100,22
100,20
100,15
100,21
100,18
100,18
100,17
100,,22.25
1000,32
1000,24
1000,27
1000,35
1000,31
1000,28
1000,24
1000,26
1000,30
1000,23
1000,24
1000,25
1000,24
1000,24
1000,27
1000,25
1000,30
1000,27
1000,25
1000,26
1000,,26.85
10000,137
10000,136
10000,156
10000,177
10000,150
10000,140
10000,168
10000,135
10000,155
10000,149
10000,137
10000,140
10000,136
10000,137
10000,136
10000,156
10000,136
10000,140
10000,137
10000,152
10000,,145.5
100000,1279
100000,1268
100000,1274
100000,1286
100000,1260
100000,1258
100000,1261
100000,1271
100000,1266
100000,1262
100000,1258
100000,1261
100000,1282
100000,1268
100000,1263
100000,1258
100000,1288
100000,1272
100000,1265
100000,1265
100000,,1268.25
1000000,12545
