Java RMI,Local
Packet size (B),Time (ms),Time average (ms)
1,1
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,1
1,1
1,1
1,1
1,,0.45
10,0
10,0
10,1
10,0
10,1
10,0
10,1
10,1
10,0
10,1
10,1
10,0
10,1
10,0
10,1
10,0
10,0
10,1
10,1
10,1
10,,0.55
100,1
100,0
100,1
100,1
100,1
100,0
100,1
100,0
100,0
100,1
100,0
100,1
100,0
100,1
100,0
100,1
100,0
100,0
100,0
100,1
100,,0.5
1000,0
1000,1
1000,0
1000,1
1000,0
1000,1
1000,0
1000,0
1000,1
1000,0
1000,1
1000,0
1000,1
1000,0
1000,1
1000,0
1000,1
1000,0
1000,0
1000,0
1000,,0.4
10000,1
10000,1
10000,1
10000,1
10000,1
10000,0
10000,0
10000,1
10000,0
10000,1
10000,0
10000,1
10000,1
10000,1
10000,0
10000,1
10000,0
10000,0
10000,1
10000,1
10000,,0.65
100000,1
100000,2
100000,2
100000,1
100000,0
100000,1
100000,0
100000,0
100000,0
100000,3
100000,1
100000,2
100000,1
100000,2
100000,1
100000,1
100000,2
100000,1
100000,1
100000,2
100000,,1.2
1000000,7
1000000,3
1000000,13
1000000,8
1000000,9
1000000,6
1000000,8
1000000,2
1000000,7
1000000,8
1000000,6
1000000,6
1000000,5
1000000,3
1000000,8
1000000,2
1000000,6
1000000,3
1000000,3
1000000,8
1000000,,6.05
10000000,14
10000000,15
10000000,31
10000000,25
10000000,15
10000000,14
10000000,15
10000000,14
10000000,14
10000000,15
10000000,14
10000000,15
10000000,15
10000000,15
10000000,15
10000000,16
10000000,18
10000000,16
10000000,17
10000000,18
10000000,,16.55
100000000,135
100000000,121
100000000,130
100000000,122
100000000,121
100000000,127
100000000,122
100000000,122
100000000,121
100000000,118
100000000,120
100000000,127
100000000,123
100000000,122
100000000,122
100000000,118
100000000,126
100000000,120
100000000,126
100000000,122
100000000,,123.25
